name,stars_count,forks_count,watchers,pull_requests,primary_language,languages_used,commit_count,created_at,licence
mpv,21230,2520,480,3007,C,"['C', 'Lua', 'Python', 'Objective-C', 'Swift', 'Meson', 'Shell', 'JavaScript', 'Ruby']",49961.0,2012-10-13T08:08:44Z,Other
Hero,21221,1706,369,149,Swift,"['Swift', 'Makefile', 'Ruby', 'Awk', 'Objective-C']",558.0,2016-11-24T18:49:37Z,MIT License
howler.js,21211,2138,362,261,JavaScript,"['JavaScript', 'CSS', 'HTML']",887.0,2013-01-28T16:47:12Z,MIT License
go-patterns,21178,1971,618,90,Go,['Go'],72.0,2015-12-14T22:05:06Z,Apache License 2.0
openzeppelin-contracts,21169,10879,646,2326,JavaScript,"['JavaScript', 'Solidity', 'Ruby', 'Shell', 'Makefile']",3055.0,2016-08-01T20:54:54Z,MIT License
elixir,21167,2993,682,7453,Elixir,"['Elixir', 'Erlang', 'Makefile', 'Batchfile', 'Shell', 'PowerShell']",18929.0,2011-01-09T08:43:57Z,Apache License 2.0
vuepress,21145,4694,267,1214,JavaScript,"['JavaScript', 'TypeScript', 'Vue', 'Stylus', 'HTML', 'CSS', 'Dockerfile']",2132.0,2018-04-05T16:58:38Z,MIT License
90DaysOfDevOps,21124,4833,510,221,Shell,"['Shell', 'Go', 'Python', 'HCL', 'Dockerfile', 'Jinja', 'PowerShell', 'Makefile', 'HTML']",1171.0,2021-12-26T13:55:18Z,Other
autocomplete,21122,4829,77,1318,TypeScript,"['TypeScript', 'JavaScript', 'Dockerfile', 'Shell']",4049.0,2020-09-29T02:21:06Z,MIT License
skywalking,21104,6037,854,4548,Java,"['Java', 'Shell', 'Lua', 'FreeMarker', 'ANTLR', 'Python', 'Batchfile', 'Makefile', 'Go', 'Dockerfile']",7465.0,2015-11-07T03:30:36Z,Apache License 2.0
netron,21104,2375,275,141,JavaScript,"['JavaScript', 'Python', 'HTML', 'Shell', 'Makefile', 'CSS']",6398.0,2010-12-26T12:53:43Z,MIT License
pug,21088,1975,552,850,JavaScript,"['JavaScript', 'Pug', 'HTML', 'TypeScript', 'CoffeeScript', 'Stylus', 'CSS']",2572.0,2010-06-23T01:05:42Z,
passport,21072,1198,321,146,JavaScript,"['JavaScript', 'Makefile']",610.0,2011-10-08T22:38:32Z,MIT License
DesignPatternsPHP,21064,4497,1221,369,PHP,"['PHP', 'Python', 'Makefile', 'Dockerfile']",1269.0,2011-08-22T05:24:31Z,MIT License
react-three-fiber,21063,1194,197,562,TypeScript,"['TypeScript', 'JavaScript', 'HTML', 'Shell']",2306.0,2019-02-25T14:31:51Z,MIT License
libgdx,21004,6374,1195,3467,Java,"['Java', 'C++', 'C', 'SWIG', 'GLSL', 'CSS', 'Assembly', 'CMake', 'Ragel', 'OpenEdge ABL']",15196.0,2012-08-10T19:34:38Z,Apache License 2.0
normalizr,20983,888,202,193,JavaScript,"['JavaScript', 'TypeScript']",455.0,2014-08-20T08:41:38Z,MIT License
pumpkin-book,20960,4558,624,59,,,437.0,2018-12-22T05:05:24Z,Other
hosts,20946,10715,1295,88,,,601.0,2017-08-05T16:10:32Z,Other
tornado,20945,5485,1004,1460,Python,"['Python', 'Shell', 'C', 'Cython', 'HTML']",4508.0,2009-09-09T04:55:16Z,Apache License 2.0
YesPlayMusic,20936,3162,200,351,Vue,"['Vue', 'JavaScript', 'CSS', 'SCSS', 'Shell', 'Dockerfile', 'HTML']",637.0,2020-10-09T10:04:21Z,MIT License
micro,20934,1090,261,754,Go,"['Go', 'Lua', 'Shell', 'Roff', 'Makefile']",2794.0,2016-03-11T02:06:28Z,MIT License
highlight.js,20921,3419,303,1766,JavaScript,"['JavaScript', 'CSS', 'HTML', 'R', 'Groovy', 'Hy', 'Shell', 'Scheme', 'Dockerfile']",6474.0,2011-01-01T23:47:21Z,"BSD 3-Clause ""New"" or ""Revised"" License"
Kingfisher,20917,2363,362,692,Swift,"['Swift', 'Objective-C', 'Ruby']",2555.0,2015-04-06T14:26:21Z,MIT License
DeepSpeech,20912,3638,658,1664,C++,"['C++', 'Python', 'C', 'Shell', 'C#', 'Swift', 'Java', 'Makefile', 'CMake', 'TypeScript']",3466.0,2016-06-02T15:04:53Z,Mozilla Public License 2.0
stb,20900,7296,614,632,C,"['C', 'C++', 'Shell', 'Makefile', 'Batchfile']",2129.0,2014-05-25T16:51:23Z,Other
tdesktop,20858,4337,777,1542,C++,"['C++', 'Objective-C++', 'CMake', 'Python', 'Shell', 'Dockerfile', 'Objective-C', 'Batchfile', 'CSS', 'Inno Setup']",14186.0,2014-05-02T12:36:31Z,Other
bitcoinbook,20843,5509,1078,670,AsciiDoc,"['AsciiDoc', 'Python', 'HTML', 'C++', 'Go', 'CSS', 'JavaScript']",3915.0,2013-08-11T23:18:28Z,Other
celery,20816,4413,475,2814,Python,"['Python', 'Shell', 'Dockerfile', 'Makefile', 'Batchfile']",12104.0,2009-04-24T11:31:24Z,Other
setup-ipsec-vpn,20798,5627,650,92,Shell,['Shell'],1267.0,2016-01-07T16:44:12Z,Other
autoprefixer,20786,1294,386,330,JavaScript,"['JavaScript', 'CSS']",2603.0,2013-03-14T05:04:51Z,MIT License
homemade-machine-learning,20771,3816,942,20,Jupyter Notebook,"['Jupyter Notebook', 'Python']",250.0,2018-11-01T04:34:19Z,MIT License
python-telegram-bot,20768,4578,597,1417,Python,"['Python', 'Makefile', 'Shell']",2511.0,2015-07-07T15:30:39Z,GNU General Public License v3.0
awesome-compose,20766,3549,343,247,HTML,"['HTML', 'Dockerfile', 'Rust', 'TypeScript', 'Java', 'Python', 'JavaScript', 'C#', 'CSS', 'Go']",267.0,2020-02-13T08:51:42Z,Creative Commons Zero v1.0 Universal
validator.js,20763,2087,226,1177,JavaScript,['JavaScript'],2159.0,2010-10-06T06:58:48Z,MIT License
